period,planet_radius,depth,equilibrium_temp,insolation,impact,duration,star_radius,star_mass,star_teff,kepmag,label,source
13.57078281,2.64,511.7,785.0,89.61,0.866,3.3539,1.012,0.951,5854.0,12.882,CONFIRMED,KOI
7.12594387,1.79,192.4,997.0,233.31,0.898,3.0014,1.087,0.941,5779.0,12.791,CONFIRMED,KOI
7.442652004,15.03,24446.0,967.0,206.78,0.137,2.3078,0.956,0.981,6108.0,15.27,FALSE POSITIVE,KOI
16.38489988,2.0,1127.1,433.0,8.35,0.001,3.0249,0.615,0.633,4126.0,15.095,CONFIRMED,KOI
7.8774163,2.16,1306.1,553.0,22.18,0.041,2.0805,0.615,0.633,4126.0,15.095,CONFIRMED,KOI
36.4454001,1.99,1122.3,332.0,2.88,0.028,4.007,0.615,0.633,4126.0,15.095,CONFIRMED,KOI
3.728732147,6.02,5226.5,1023.0,258.34,0.558,2.683,0.809,0.907,5497.0,15.523,CONFIRMED,KOI
40.4195037,7.51,6256.0,467.0,11.29,0.911,3.362,0.781,0.714,5446.0,15.487,CANDIDATE,KOI
2.243380573,1.99,821.7,822.0,107.6,0.915,1.1196,0.564,0.578,4149.0,15.135,CONFIRMED,KOI
10.405998015,11.23,14489.0,833.0,113.94,0.324,6.5036,0.924,0.77,5746.0,15.562,FALSE POSITIVE,KOI
2.337437946,2.34,971.2,1070.0,311.16,0.28,1.9982,0.765,0.85,5005.0,15.334,CONFIRMED,KOI
7.2406612,19.45,556.4,734.0,68.63,1.198,0.558,0.765,0.85,5005.0,15.334,CANDIDATE,KOI
3.43591631,0.55,23.2,1272.0,617.61,0.624,3.133,1.087,0.941,5779.0,12.791,CANDIDATE,KOI
11.59822233,2.65,2804.5,396.0,5.82,0.679,2.5237,0.473,0.503,3688.0,15.937,CONFIRMED,KOI
6.575315881,5.31,2793.3,1015.0,251.38,0.39,4.3084,0.989,0.927,5992.0,15.312,CONFIRMED,KOI
7.275040844,4.86,3001.0,833.0,113.64,0.547,7.5377,0.867,0.986,5485.0,15.08,CONFIRMED,KOI
19.27153892,1.93,1219.8,393.0,5.66,0.031,2.7594,0.56,0.576,4077.0,15.385,CONFIRMED,KOI
10.06524317,1.91,1053.3,488.0,13.43,0.628,1.369,0.56,0.576,4077.0,15.385,CONFIRMED,KOI
12.3935651,2.66,916.6,677.0,49.68,0.883,3.8896,0.75,0.832,5557.0,15.505,CONFIRMED,KOI
43.84439721,2.87,615.2,531.0,18.77,0.852,6.802,1.012,0.951,5854.0,12.882,CONFIRMED,KOI
3.341913228,21.55,725.3,1032.0,268.67,1.213,3.813,0.811,0.853,5295.0,15.629,FALSE POSITIVE,KOI
1.626630225,32.43,1620.6,1547.0,1355.88,1.26,2.1145,0.973,0.889,5735.0,15.279,FALSE POSITIVE,KOI
2.711504086,3.12,837.5,1420.0,960.79,0.023,3.0099,1.076,1.169,6214.0,15.541,CONFIRMED,KOI
7.21203748,3.32,950.4,1025.0,260.58,0.012,4.0491,1.076,1.169,6214.0,15.541,CONFIRMED,KOI
14.1798187,1.88,459.9,711.0,60.35,0.1601,2.505,0.878,0.975,5799.0,15.727,FALSE POSITIVE,KOI
8.47237911,2.59,1123.5,751.0,75.44,0.022,2.7245,0.788,0.884,5354.0,15.339,CONFIRMED,KOI
60.4189369,2.36,931.3,390.0,5.49,0.094,5.039,0.788,0.884,5354.0,15.339,CONFIRMED,KOI
12.611904345,7.4,6105.6,753.0,76.15,0.55,5.1497,0.919,0.992,5795.0,15.14,CONFIRMED,KOI
1.433769925,46.58,1976.3,1920.0,3209.29,1.268,1.8868,1.339,1.083,6017.0,15.122,FALSE POSITIVE,KOI
10.31872301,28.59,871.7,876.0,139.26,1.215,3.836,1.06,1.05,5927.0,15.065,FALSE POSITIVE,KOI
2.539183147,2.06,382.1,1332.0,743.09,0.238,2.4282,1.062,0.921,5519.0,15.026,CONFIRMED,KOI
6.770300385,2.77,1304.0,812.0,102.87,0.838,2.0844,0.679,0.767,5653.0,15.591,CONFIRMED,KOI
0.444291966,27.51,10967.0,1836.0,2706.26,1.258,2.0792,0.636,0.709,5255.0,15.748,FALSE POSITIVE,KOI
10.181584004,7.73,5741.1,812.0,102.91,0.92,3.5089,0.836,0.885,5988.0,15.657,CANDIDATE,KOI
20.06036336,1.96,1494.7,361.0,4.0,0.556,3.3203,0.493,0.502,3950.0,15.954,CONFIRMED,KOI
46.1842039,1.83,1394.7,273.0,1.32,0.013,4.758,0.493,0.502,3950.0,15.954,CONFIRMED,KOI
23.9800854,1.31,104.0,649.0,41.94,0.95,5.351,1.012,0.951,5854.0,12.882,CONFIRMED,KOI
7.82502168,1.2,520.8,494.0,14.05,0.708,2.186,0.493,0.502,3950.0,15.954,CONFIRMED,KOI
3.895936525,7.34,8544.8,1005.0,241.62,0.524,2.3111,0.774,0.866,5557.0,15.725,CONFIRMED,KOI
22.36646466,2.32,986.8,536.0,19.45,0.4,5.228,0.734,0.821,5395.0,15.583,CONFIRMED,KOI
1.625522174,9.73,7969.0,1579.0,1467.41,0.076,2.38963,1.106,0.935,5539.0,15.001,CONFIRMED,KOI
19.620346923,13.6,21725.0,643.0,40.39,0.458,2.0038,0.905,0.928,5710.0,15.562,CANDIDATE,KOI
7.544039,17.47,322.6,838.0,116.46,1.175,6.222,0.824,0.919,5657.0,15.559,FALSE POSITIVE,KOI
9.02930689,2.57,1019.8,757.0,77.75,0.024,3.1449,0.82,0.824,5349.0,15.387,CONFIRMED,KOI
10.328035714,13.28,16918.0,843.0,119.31,0.281,7.7915,1.024,0.874,5627.0,15.646,FALSE POSITIVE,KOI
143.2063047,8.9,10566.0,308.0,2.14,0.379,8.9302,0.867,0.986,5485.0,15.403,CONFIRMED,KOI
6.164876,0.79,55.8,1021.0,256.35,0.646,3.262,1.012,0.951,5854.0,12.882,CONFIRMED,KOI
60.32494216,12.19,20280.0,411.0,6.77,0.224,6.6188,0.867,0.986,5485.0,15.403,CONFIRMED,KOI
29.1598615,1.91,488.0,524.0,17.85,0.3619,4.803,0.867,0.986,5485.0,15.403,CONFIRMED,KOI
1.540397253,25.69,816.1,1470.0,1105.68,1.225,2.1541,0.915,1.034,5663.0,15.974,FALSE POSITIVE,KOI
2.99025443,1.7,589.2,918.0,168.45,0.014,5.414,0.731,0.737,4667.0,15.842,FALSE POSITIVE,KOI
1.594745374,11.3,15044.0,1539.0,1329.42,0.514,1.9604,0.893,0.901,5934.0,15.53,CONFIRMED,KOI
